"filename", "language", "PHP", "JavaScript", "JSON", "Markdown", "XML", "CSS", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Programy\Laragon\laragon\www\ftp\resources\js\application.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 9, 10, 98
"c:\Programy\Laragon\laragon\www\ftp\resources\js\assets.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 0, 0, 16, 14, 144
"c:\Programy\Laragon\laragon\www\ftp\resources\js\fileMenagment.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 0, 0, 19, 15, 234
"c:\Programy\Laragon\laragon\www\ftp\resources\js\upload.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 0, 13, 7, 117
"c:\Programy\Laragon\laragon\www\ftp\resources\lang\en\auth.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\Programy\Laragon\laragon\www\ftp\resources\lang\en\pagination.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\Programy\Laragon\laragon\www\ftp\resources\lang\en\passwords.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\Programy\Laragon\laragon\www\ftp\resources\lang\en\validation.php", "PHP", 113, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 152
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 5, 42
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\application.scss", "SCSS", 0, 0, 0, 0, 0, 0, 252, 0, 0, 7, 36, 295
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\assets.scss", "SCSS", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 11, 79
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\config.json", "JSON", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 106
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\animation.css", "CSS", 0, 0, 0, 0, 0, 77, 0, 0, 0, 3, 6, 86
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello-codes.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello-embedded.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 0, 0, 20, 10, 76
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello-ie7-codes.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello-ie7.css", "CSS", 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 4, 29
"c:\Programy\Laragon\laragon\www\ftp\resources\sass\fontello\css\fontello.css", "CSS", 0, 0, 0, 0, 0, 44, 0, 0, 0, 20, 9, 73
